employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879463,,,Part-Time,Web Development Coordinator,2024-04-10T20:54:46.512-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Chowbus,https://app.joinhandshake.com/jobs/9234943,Illinois,Chicago,Full-Time,Site Reliability Engineer_Mandarin Speaking,2024-08-26T14:33:42.561-04:00,2024-12-31T06:00:00.000-05:00,2024-08-26T06:00:00.000-04:00
CAI3p0,https://app.joinhandshake.com/jobs/9255758,,,Part-Time,Applied AI and Entrepreneurship Intern,2024-08-30T18:29:46.491-04:00,2024-09-30T19:00:00.000-04:00,2024-09-01T07:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166987,,,Full-Time,UI/UX Designer Intern,2024-08-05T03:10:45.632-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9192718,,,Full-Time,Product Design Engineer Internship – 2025 (US),2024-08-13T11:02:24.913-04:00,2025-04-30T06:00:00.000-04:00,2024-08-13T06:00:00.000-04:00
TikTok Inc.,https://app.joinhandshake.com/jobs/9105517,Washington,Seattle,Full-Time,Research Scientist Intern - TikTok Core Recommendation - 2024 Off-Cycle (PhD),2024-07-11T12:06:01.830-04:00,2025-01-11T07:00:00.000-05:00,2024-07-11T08:00:00.000-04:00
Persona Identities,https://app.joinhandshake.com/jobs/9225694,California,San Francisco,Full-Time,Associate Solutions Consultant,2024-08-22T14:13:45.323-04:00,2024-09-27T09:00:00.000-04:00,2024-08-22T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166985,,,Full-Time,Product Manager Intern,2024-08-05T03:06:55.010-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9084499,New York,New York,Full-Time,"Forward Deployed Software Engineer, Internship - NY",2024-07-01T21:00:52.025-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879032,,,Part-Time,Cyber Security Analyst,2024-04-10T17:31:59.061-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9035267,,,Part-Time,Web/App Development Director,2024-06-10T15:05:42.484-04:00,2024-12-10T07:00:00.000-05:00,2024-06-10T07:00:00.000-04:00
"CyberVillage Networkers, Inc.",https://app.joinhandshake.com/jobs/9154470,Maryland,Ellicott City,Full-Time,Administrative Assistance,2024-07-30T23:34:53.061-04:00,2025-01-30T06:00:00.000-05:00,2024-07-30T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304714,,,Part-Time,"AI Trainer for Spanish Writers/Speakers (Freelance, Remote)",2024-09-16T12:49:35.868-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9306645,Pennsylvania,Tremont,Full-Time,"Amazon Fulfillment Center Associate- Tremont, PA",2024-09-16T17:37:17.612-04:00,2025-03-16T06:00:00.000-04:00,2024-09-16T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9196057,,,Part-Time,Project Manager,2024-08-13T18:40:13.677-04:00,2024-12-31T07:00:00.000-05:00,2024-08-13T07:00:00.000-04:00
Verkada,https://app.joinhandshake.com/jobs/9216301,California,San Mateo,Full-Time,Supply Chain (Winter Undergraduate Co-op),2024-08-20T14:18:49.512-04:00,2024-10-25T09:00:00.000-04:00,2024-08-20T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223338,,,Part-Time,Product Manager Intern - Part time remote,2024-08-22T02:57:49.931-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9012632,,,Part-Time,WordPress Developer,2024-05-30T20:48:48.780-04:00,2024-11-30T09:00:00.000-05:00,2024-05-30T09:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9283982,Texas,Texas City,Full-Time,.NET Developer ,2024-09-10T10:36:34.739-04:00,2025-03-10T06:00:00.000-04:00,2024-09-10T06:00:00.000-04:00
Find Me,https://app.joinhandshake.com/jobs/9173279,,,Part-Time,Web & Mobile Application Design Intern-Unpaid,2024-08-07T12:19:07.267-04:00,2025-02-06T06:00:00.000-05:00,2024-08-06T06:00:00.000-04:00
Bmore Studio,https://app.joinhandshake.com/jobs/9261988,Maryland,Baltimore,Part-Time,Live Streamer Talent,2024-09-03T18:31:06.074-04:00,2025-03-03T06:00:00.000-05:00,2024-09-03T06:00:00.000-04:00
Meta,https://app.joinhandshake.com/jobs/9267391,Massachusetts,Boston,Full-Time,Rotational Network Engineer (RNE),2024-09-04T19:41:48.421-04:00,2024-11-15T06:00:00.000-05:00,2024-09-04T06:00:00.000-04:00
xAI,https://app.joinhandshake.com/jobs/9185583,,,Full-Time,AI Coding Tutor,2024-08-09T14:40:23.234-04:00,2024-09-30T06:00:00.000-04:00,2024-08-09T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9214078,,,Full-Time,Hardware Development Engineer Summer Internship – 2025 (US),2024-08-20T09:06:26.924-04:00,2025-04-30T06:00:00.000-04:00,2024-08-20T06:00:00.000-04:00
"RELI Group, Inc.",https://app.joinhandshake.com/jobs/8898378,Maryland,Windsor Mill,Part-Time,Part Time Office Assistant,2024-04-17T11:33:15.541-04:00,2025-01-31T00:00:00.000-05:00,2024-04-17T06:00:00.000-04:00
Riveting Technology,https://app.joinhandshake.com/jobs/9154552,,,Part-Time,Business Development Intern,2024-07-31T02:28:29.327-04:00,2025-01-30T08:00:00.000-05:00,2024-07-30T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223346,,,Part-Time,Human Resource (HR) Intern - Part time remote,2024-08-22T04:15:02.145-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223341,,,Full-Time,UI/UX Designer Intern - Full time remote,2024-08-22T03:01:48.006-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257392,,Shanghai,Full-Time,Product Manager（English）（Only for Chinese students）,2024-09-03T03:12:19.562-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
ProWriterSites,https://app.joinhandshake.com/jobs/8958254,,,Part-Time,Content Writer (Remote),2024-05-08T03:14:03.647-04:00,2024-11-08T06:00:00.000-05:00,2024-05-08T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304801,,,Part-Time,"AI Trainer for Thai Writers/Speakers (Freelance, Remote)",2024-09-16T12:59:52.619-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
adMarketplace,https://app.joinhandshake.com/jobs/9209048,New York,New York,Full-Time,Technical Account Manager,2024-08-18T13:08:09.431-04:00,2025-02-18T06:00:00.000-05:00,2024-08-18T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223342,,,Part-Time,UI/UX Designer Intern - Part time remote,2024-08-22T03:04:17.613-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9152762,Maryland,Rockville,Full-Time,IT Systems Administrator,2024-07-30T14:31:59.122-04:00,2025-01-30T06:00:00.000-05:00,2024-07-30T06:00:00.000-04:00
Untethered Labs,https://app.joinhandshake.com/jobs/9150215,Maryland,Greenbelt,Part-Time,Operations Intern (Summer and Fall 2024),2024-07-29T18:06:58.261-04:00,2025-01-01T06:00:00.000-05:00,2024-07-29T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9303782,,,Part-Time,"AI Trainer for Arabic Writers/Speakers (Freelance, Remote)",2024-09-16T10:23:23.980-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
PieJob Corp,https://app.joinhandshake.com/jobs/9151374,,,Part-Time,Remote Teaching Assistant,2024-07-30T10:56:20.556-04:00,2025-01-30T06:00:00.000-05:00,2024-07-30T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257396,,Shanghai,Full-Time,International Finance Trainee（Only for non-Chinese students）,2024-09-03T03:20:42.522-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Vinci Games (YC S22),https://app.joinhandshake.com/jobs/9297403,,,Part-Time,"Social Media & Content Creator Intern (Games, TikTok)",2024-09-12T16:02:24.925-04:00,2024-12-31T09:00:00.000-05:00,2024-09-12T09:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9306525,Pennsylvania,Shippensburg,Full-Time,"Amazon Fulfillment Center Associate- Shippesburg, PA",2024-09-16T17:29:06.477-04:00,2025-03-16T06:00:00.000-04:00,2024-09-16T06:00:00.000-04:00
Shore Accountants,https://app.joinhandshake.com/jobs/9266069,Maryland,Grasonville,Part-Time,Tax Intern,2024-09-04T15:44:06.448-04:00,2025-03-04T06:00:00.000-05:00,2024-09-04T06:00:00.000-04:00
Planet Network Inc,https://app.joinhandshake.com/jobs/9285651,New Jersey,Newton,Full-Time,Sales and Business Development,2024-09-10T13:58:57.595-04:00,2025-03-10T06:00:00.000-04:00,2024-09-10T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9132419,,,Full-Time,Entrepreneur in Residence (EIR) Intern,2024-07-23T02:24:33.332-04:00,2025-01-23T01:00:00.000-05:00,2024-07-23T01:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879091,,,Part-Time,IT Helpdesk,2024-04-10T17:44:30.341-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Moonman Labs,https://app.joinhandshake.com/jobs/8921904,Maryland,Baltimore,Full-Time,Innovation and Business Growth Internship,2024-04-25T15:40:29.167-04:00,2024-10-24T06:00:00.000-04:00,2024-04-24T06:00:00.000-04:00
"Fast Enterprises, LLC",https://app.joinhandshake.com/jobs/9287244,Colorado,Centennial,Full-Time,Technical Training Coordinator,2024-09-10T17:23:11.035-04:00,2025-01-10T07:00:00.000-05:00,2024-09-10T07:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9318346,Virginia,Ashland,Part-Time,Amazon Sortation Center Warehouse Associate,2024-09-19T13:26:53.209-04:00,2025-03-19T06:00:00.000-04:00,2024-09-19T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9303746,,,Part-Time,"AI Trainer for Indonesian Writers/Speakers (Freelance, Remote)",2024-09-16T10:18:28.618-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8949006,,,Part-Time,Game Development PC Developer,2024-05-03T18:00:41.824-04:00,2024-11-03T08:00:00.000-05:00,2024-05-03T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223344,,,Full-Time,Content Marketing Intern - Full time remote,2024-08-22T03:11:15.386-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
Aeternum Llc,https://app.joinhandshake.com/jobs/9241670,District of Columbia,Washington,Full-Time,Business Development/Sales Associate,2024-08-27T17:30:43.230-04:00,2025-02-01T06:00:00.000-05:00,2024-08-27T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9012635,,,Part-Time,Web Development Project Manager,2024-05-30T20:51:39.369-04:00,2024-11-30T09:00:00.000-05:00,2024-05-30T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257394,,Shanghai,Full-Time,Product Market Analyst（Minor Languages）【For Chinese students or non-Chinese students studying in China】,2024-09-03T03:12:59.670-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Planet Network Inc,https://app.joinhandshake.com/jobs/9290410,New Jersey,Newton,Full-Time,Customer Success Manager,2024-09-11T13:31:55.882-04:00,2025-03-11T06:00:00.000-04:00,2024-09-11T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166977,,,Part-Time,UI/UX Designer Intern,2024-08-05T02:41:56.842-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8948969,,,Part-Time,VR Developer Intern,2024-05-03T17:50:45.803-04:00,2024-11-03T08:00:00.000-05:00,2024-05-03T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166978,,,Part-Time,Product Manager Intern,2024-08-05T02:50:18.886-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879061,,,Part-Time,Google Drive and Email Manager,2024-04-10T17:37:36.095-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Auxi,https://app.joinhandshake.com/jobs/9200481,,,Full-Time,Junior Account Executive,2024-08-14T19:55:01.421-04:00,2024-09-30T06:00:00.000-04:00,2024-08-14T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257374,,Shanghai,Full-Time,AI Trainer（Minor languages）【For Chinese students or non-Chinese students studying in China】,2024-09-03T02:31:41.547-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Manifest,https://app.joinhandshake.com/jobs/9059630,,,Full-Time,Social Media Manager,2024-06-20T12:43:34.703-04:00,2024-12-27T06:00:00.000-05:00,2024-06-20T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879455,,,Part-Time,Research and Development Coordinator,2024-04-10T20:45:28.781-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879420,,,Part-Time,App Development Coordinator,2024-04-10T20:12:34.698-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9318381,Virginia,Suffolk,Full-Time,"Amazon Fulfillment Center Associate- Suffolk, VA",2024-09-19T13:30:26.295-04:00,2025-03-19T06:00:00.000-04:00,2024-09-19T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9320901,,,Part-Time,"AI Trainer for Probability & Statistics (Freelance, Remote)",2024-09-20T09:31:12.415-04:00,2024-12-01T06:00:00.000-05:00,2024-09-20T06:00:00.000-04:00
"AA Software & Networking, Inc.",https://app.joinhandshake.com/jobs/8845314,Texas,Dallas,Full-Time,Junior 5G Core Engineer,2024-04-01T12:04:19.601-04:00,2024-09-30T20:30:00.000-04:00,2024-03-31T20:30:00.000-04:00
"Google, Inc.",https://app.joinhandshake.com/jobs/9227375,California,San Francisco,Full-Time,"Account Strategist, Mid-Market Sales, Google Customer Solutions (SF/Redwood City)",2024-08-22T19:35:13.538-04:00,2024-11-22T09:00:00.000-05:00,2024-08-22T09:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9090831,Wisconsin,Milwaukee,Full-Time,"Manager, Supply Chain",2024-07-03T18:18:39.381-04:00,2025-01-03T07:00:00.000-05:00,2024-07-03T07:00:00.000-04:00
Roulettech Inc.,https://app.joinhandshake.com/jobs/9053134,,,Part-Time,UI/UX Design Intern,2024-06-26T17:07:33.751-04:00,2024-12-18T06:00:00.000-05:00,2024-06-18T06:00:00.000-04:00
Dynamo Software,https://app.joinhandshake.com/jobs/9313417,England,London,Full-Time,Business Development Representative,2024-09-18T12:04:50.116-04:00,2024-11-01T06:00:00.000-04:00,2024-09-18T06:00:00.000-04:00
The Creative Bomb,https://app.joinhandshake.com/jobs/9093483,,,Part-Time,Sales Engineer (Intern),2024-07-07T19:02:50.368-04:00,2025-01-07T06:00:00.000-05:00,2024-07-07T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304790,,,Part-Time,"AI Trainer for French Writers/Speakers (Freelance, Remote)",2024-09-16T12:58:22.023-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
Roulettech Inc.,https://app.joinhandshake.com/jobs/9053133,,,Part-Time,Marketing Analyst Intern,2024-07-07T02:18:32.327-04:00,2024-12-18T07:00:00.000-05:00,2024-06-18T07:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257404,,Shanghai,Full-Time,Product Management（Point of Interest）【Only for non-Chinese students studying in China】,2024-09-03T03:34:14.576-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
SkaiKru Energy,https://app.joinhandshake.com/jobs/8835967,South Carolina,Columbia,Full-Time,2024 Internship Program,2024-04-21T08:49:29.485-04:00,2024-09-27T06:00:00.000-04:00,2024-03-27T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883432,,,Part-Time,Training and Leadership Development Coordinator,2024-04-11T18:29:11.898-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257390,,Shanghai,Full-Time,UX Designer（For Chinese students or non-Chinese students studying in China）,2024-09-03T03:10:10.660-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
fundae Software Inc,https://app.joinhandshake.com/jobs/8878044,,,Part-Time,Marketing Co-Op,2024-04-10T15:15:47.450-04:00,2024-10-10T06:00:00.000-04:00,2024-04-10T06:00:00.000-04:00
Verkada,https://app.joinhandshake.com/jobs/9216165,California,San Mateo,Full-Time,Product Design Mechanical Engineer (Winter Co-Op),2024-08-20T14:01:12.349-04:00,2024-10-25T09:00:00.000-04:00,2024-08-20T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166986,,,Full-Time,Human Resource Intern,2024-08-05T03:08:46.022-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304723,,,Part-Time,"AI Trainer for Brazilian Portuguese Writers/Speakers (Freelance, Remote)",2024-09-16T12:49:46.301-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
Manifest,https://app.joinhandshake.com/jobs/9059442,,,Full-Time,Graphic Designer,2024-06-20T12:08:21.126-04:00,2024-12-27T06:00:00.000-05:00,2024-06-20T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257395,,Shanghai,Full-Time,Customer Service Experience Management（Only for non-Chinese students studying in China）,2024-09-03T03:16:41.358-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Bespoke Inc.,https://app.joinhandshake.com/jobs/9033298,,,Part-Time,Chatbot Content Writers and Operation,2024-06-10T01:46:48.179-04:00,2024-12-19T16:00:00.000-05:00,2024-06-09T17:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223345,,,Full-Time,Human Resource (HR) Intern - Full time remote,2024-08-22T03:13:16.721-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9003874,Maryland,Rockville,Full-Time,Accounting Administrator,2024-05-28T11:54:44.844-04:00,2024-11-28T06:00:00.000-05:00,2024-05-28T06:00:00.000-04:00
Verse,https://app.joinhandshake.com/jobs/9196050,,,Part-Time,Content Creator Intern,2024-08-13T18:50:41.864-04:00,2025-02-13T06:00:00.000-05:00,2024-08-13T06:00:00.000-04:00
Riveting Technology,https://app.joinhandshake.com/jobs/9324354,,,Part-Time,Paralegal (Document Review),2024-09-21T17:44:02.338-04:00,2025-03-21T06:00:00.000-04:00,2024-09-21T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304670,,,Part-Time,"AI Trainer for Italian Writers/Speakers (Freelance, Remote)",2024-09-16T12:41:01.000-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879007,,,Part-Time,IT Coordinator,2024-04-10T17:24:39.770-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Assists Corp,https://app.joinhandshake.com/jobs/8865484,,,Full-Time,Video Editor,2024-04-05T16:46:23.194-04:00,2024-10-05T06:00:00.000-04:00,2024-04-05T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257357,,Shanghai,Full-Time,Content Operation Specialist（For Chinese students or non-Chinese students studying in China）,2024-09-03T01:38:08.576-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
With Bytes,https://app.joinhandshake.com/jobs/9242218,,,Part-Time,Student Marketeer,2024-08-30T21:18:33.285-04:00,2025-02-27T09:00:00.000-05:00,2024-08-27T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166981,,,Part-Time,Entrepreneur in Residence (EIR) Intern,2024-08-05T02:57:27.994-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Dayforce,https://app.joinhandshake.com/jobs/9024027,,,Full-Time,Sales Intern 8 Months Fall 2024,2024-06-05T11:19:36.629-04:00,2024-12-05T06:00:00.000-05:00,2024-06-05T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9194073,,,Full-Time,Hardware Development Engineer Winter Internship – 2025 (US),2024-08-13T14:03:09.804-04:00,2025-04-30T06:00:00.000-04:00,2024-08-13T06:00:00.000-04:00
"Google, Inc.",https://app.joinhandshake.com/jobs/9222793,Michigan,Ann Arbor,Full-Time,"Account Strategist, Mid-Market Sales, Google Customer Solutions (Ann Arbor)",2024-08-21T19:07:49.517-04:00,2024-11-21T09:00:00.000-05:00,2024-08-21T09:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9303821,,,Part-Time,"AI Trainer for Vietnamese Writers/Speakers (Freelance, Remote)",2024-09-16T10:28:55.047-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9100164,Maryland,Rockville,Full-Time,Bookkeeper,2024-07-09T17:15:36.854-04:00,2025-01-09T06:00:00.000-05:00,2024-07-09T06:00:00.000-04:00
Assists Corp,https://app.joinhandshake.com/jobs/8864021,Illinois,Chicago,Full-Time,Account Manager,2024-04-05T13:16:05.669-04:00,2024-10-05T06:00:00.000-04:00,2024-04-05T06:00:00.000-04:00
Tanbii,https://app.joinhandshake.com/jobs/8978961,,,Part-Time,Content Writer Intern - Sustainability Eco-Game Startup - VC Backed,2024-05-15T17:37:22.231-04:00,2024-11-15T09:00:00.000-05:00,2024-05-15T09:00:00.000-04:00
Verkada,https://app.joinhandshake.com/jobs/9216237,California,San Mateo,Full-Time,Hardware Engineer (Winter Co-Op),2024-08-20T14:10:06.720-04:00,2024-10-25T09:00:00.000-04:00,2024-08-20T09:00:00.000-04:00
"Sun Net, Inc.",https://app.joinhandshake.com/jobs/8991539,California,San Jose,Part-Time,Project and Office Assistant,2024-05-21T13:58:13.900-04:00,2024-11-21T09:00:00.000-05:00,2024-05-21T09:00:00.000-04:00
Verkada,https://app.joinhandshake.com/jobs/9229946,California,San Mateo,Full-Time,Compliance Engineer (Winter Co-op),2024-08-23T14:16:01.016-04:00,2024-10-25T09:00:00.000-04:00,2024-08-23T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257402,,Shanghai,Full-Time,UX writer（Only for non-Chinese students studying in China）,2024-09-03T03:31:45.881-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Coding with Kids,https://app.joinhandshake.com/jobs/9139607,Colorado,Denver,Part-Time,After School Teacher: Coding Instructor,2024-07-24T19:35:18.176-04:00,2025-01-24T09:00:00.000-05:00,2024-07-24T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879459,,,Part-Time,Mechanical Engineer,2024-04-10T20:49:31.687-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223324,,,Part-Time,Entrepreneur in Residence Intern - Part time remote,2024-08-22T02:38:52.420-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
