employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
Assists Corp,https://app.joinhandshake.com/jobs/8863729,,,Full-Time,Partnerships Associate,2024-04-05T12:31:03.618-04:00,2024-10-05T06:00:00.000-04:00,2024-04-05T06:00:00.000-04:00
Verkada,https://app.joinhandshake.com/jobs/9251577,California,San Mateo,Full-Time,Hardware Engineer Program Manager (Winter Co-op),2024-08-29T18:41:43.208-04:00,2024-11-01T09:00:00.000-04:00,2024-08-29T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9277659,,,Part-Time,Self Governance & Compliance Financial Analyst,2024-09-08T22:19:23.187-04:00,2024-12-31T06:00:00.000-05:00,2024-09-08T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223343,,,Part-Time,Content Marketing Intern - Part time remote,2024-08-22T03:09:32.346-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304705,,,Part-Time,"AI Trainer for Korean Writers/Speakers (Freelance, Remote)",2024-09-16T12:54:26.453-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
With Bytes,https://app.joinhandshake.com/jobs/9243783,,,Part-Time,Social Media Content Creator Intern,2024-08-30T21:05:03.745-04:00,2025-02-28T06:00:00.000-05:00,2024-08-28T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9242501,,Shanghai,Full-Time,BD Manager（Only for non-Chinese students studying in China）,2024-08-28T05:11:31.752-04:00,2025-02-27T17:00:00.000-05:00,2024-08-27T18:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257353,,Shanghai,Full-Time,Business Operation Associate（Minor Languages）【Only for Chinese students】,2024-09-03T01:28:28.180-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Shepherd,https://app.joinhandshake.com/jobs/9297589,,,Part-Time,Viral Content Creator,2024-09-12T16:41:14.183-04:00,2024-09-30T07:00:00.000-04:00,2024-09-12T07:00:00.000-04:00
Riveting Technology,https://app.joinhandshake.com/jobs/9154554,District of Columbia,Washington,Part-Time,Legal Intern,2024-07-31T02:40:10.734-04:00,2025-01-30T08:00:00.000-05:00,2024-07-30T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883552,,,Part-Time,Curriculum Development Coordinator,2024-04-11T19:18:10.975-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
Navattic,https://app.joinhandshake.com/jobs/9233901,,,Full-Time,Training & Demo Enablement Lead,2024-08-26T12:41:22.425-04:00,2024-10-31T06:00:00.000-04:00,2024-08-26T06:00:00.000-04:00
Live Sitter,https://app.joinhandshake.com/jobs/8913303,,,Part-Time,Sales and Business Development Intern,2024-04-22T17:17:18.813-04:00,2024-10-22T06:00:00.000-04:00,2024-04-22T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8921547,,,Part-Time,Human Resources Project Manager,2024-04-24T17:39:32.448-04:00,2024-10-24T09:00:00.000-04:00,2024-04-24T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257405,,Shanghai,Full-Time,Product Management（Geographical Information）【Only for non-Chinese students studying in China】,2024-09-03T03:37:02.358-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257407,,Shanghai,Full-Time,Product Trainee（Spain Train）【Only for non-Chinese students studying in China】,2024-09-03T03:39:19.197-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166979,,,Part-Time,Human Resource Intern,2024-08-05T02:54:09.388-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9320925,,,Part-Time,"AI Trainer for Physics (Freelance, Remote)",2024-09-20T09:35:51.394-04:00,2024-12-01T06:00:00.000-05:00,2024-09-20T06:00:00.000-04:00
Motive,https://app.joinhandshake.com/jobs/9042513,Tennessee,Nashville,Full-Time,"Sales Development Representative, Emerging Mid-Market",2024-06-12T17:10:38.360-04:00,2024-12-12T07:00:00.000-05:00,2024-06-12T07:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304690,,,Part-Time,"AI Trainer for Japanese Writers/Speakers (Freelance, Remote)",2024-09-16T12:43:39.317-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
"BetterSocial, Public Benefits Corporation",https://app.joinhandshake.com/jobs/8840127,,,Part-Time,Global Student Marketing Leader,2024-03-29T15:44:15.891-04:00,2024-09-28T09:00:00.000-04:00,2024-03-28T09:00:00.000-04:00
Tanbii,https://app.joinhandshake.com/jobs/8803505,,,Part-Time,Sustainability Gaming Product Intern - Growth,2024-05-15T17:47:30.999-04:00,2024-10-31T09:00:00.000-04:00,2024-03-18T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257358,,Shanghai,Full-Time,Marketing Specialist（Minor Languages）【Only for Chinese students】,2024-09-03T01:43:53.374-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257398,,Beijing,Full-Time,Business Partnership（Only for Chinese students）,2024-09-03T03:24:04.307-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879128,,,Part-Time,Game Development Coordinator,2024-04-10T17:52:48.998-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883524,,,Part-Time,Creative Writer,2024-04-11T19:02:41.014-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257360,,Shanghai,Full-Time,Procedure Supervisor（Only for Chinese students）,2024-09-03T01:51:47.065-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
"Sun Net, Inc.",https://app.joinhandshake.com/jobs/8989506,California,San Jose,Part-Time,Financial Assistant,2024-05-20T18:55:01.117-04:00,2024-11-20T09:00:00.000-05:00,2024-05-20T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9012637,,,Part-Time,Voice Actor ,2024-05-30T20:56:43.869-04:00,2024-11-30T09:00:00.000-05:00,2024-05-30T09:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9303769,,,Part-Time,"AI Trainer for German Writers/Speakers (Freelance, Remote)",2024-09-16T10:27:50.930-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883448,,,Part-Time,Training and Leadership Development Trainer,2024-04-11T18:34:12.723-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
"PureMaven, Inc.",https://app.joinhandshake.com/jobs/8305240,New York,New York,Part-Time,Marketing & Growth Intern - Remote,2023-10-30T21:22:06.780-04:00,2024-09-30T06:00:00.000-04:00,2023-10-02T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883516,,,Part-Time,Curriculum Development Content Writer,2024-04-11T18:58:42.578-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
Chowbus,https://app.joinhandshake.com/jobs/9225995,New York,New York,Full-Time,Technical Support Assistant_Mandarin Speaking,2024-08-22T15:04:14.839-04:00,2024-12-31T06:00:00.000-05:00,2024-08-22T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223312,,,Full-Time,Entrepreneur in Residence Intern - Full time remote,2024-08-22T02:10:45.530-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257387,,Shanghai,Full-Time,Business Operation（Only for Chinese students）,2024-09-03T03:03:57.530-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257352,,Shanghai,Full-Time,User Operations（Only for Chinese students）,2024-09-03T01:25:14.619-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
BluChip,https://app.joinhandshake.com/jobs/9087115,,,Part-Time,BluChip Ambassador Internship for Student-Athletes,2024-07-02T16:03:41.017-04:00,2025-01-02T06:00:00.000-05:00,2024-07-02T06:00:00.000-04:00
Information Technology Industry Council (ITI),https://app.joinhandshake.com/jobs/9247912,District of Columbia,Washington,Part-Time,Policy Communications and Marketing Fellow,2024-08-29T10:19:02.061-04:00,2024-09-30T06:00:00.000-04:00,2024-08-29T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257385,,Shanghai,Full-Time,Business Partnership（Only for Chinese students）,2024-09-03T03:02:23.978-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257378,,Shanghai,Full-Time,Eagle Program Trainee-Campaign Operation（Only for Chinese students）,2024-09-03T02:43:41.145-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9109785,,,Part-Time,Cartoon Artist,2024-07-12T15:29:53.883-04:00,2025-01-12T09:00:00.000-05:00,2024-07-12T09:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257368,,Shanghai,Full-Time,Work Force Operation Specialist（Only for Chinese students）,2024-09-03T02:12:33.945-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9230237,Maryland,Rockville,Full-Time,Accounting Representative,2024-08-23T14:57:36.094-04:00,2025-02-23T06:00:00.000-05:00,2024-08-23T06:00:00.000-04:00
The Creative Bomb,https://app.joinhandshake.com/jobs/9093446,,,Part-Time,Sales and Marketing Position is Open,2024-07-07T16:58:29.079-04:00,2025-01-07T06:00:00.000-05:00,2024-07-07T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883541,,,Part-Time,Social Emotional Learning (SEL) Consultant,2024-04-11T19:12:23.488-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
The Creative Bomb,https://app.joinhandshake.com/jobs/9102090,,,Part-Time,Sales and Marketing (Base salary + Commission),2024-07-10T12:12:04.803-04:00,2025-01-10T06:00:00.000-05:00,2024-07-10T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166976,,,Part-Time,Content Marketing Intern,2024-08-05T02:39:47.686-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257406,,Shanghai,Full-Time,Product Operation（Point of Interest）【Only for non-Chinese students studying in China】,2024-09-03T03:37:07.799-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166984,,,Full-Time,Content Marketing Intern,2024-08-05T03:05:26.717-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Banyan Technology Inc,https://app.joinhandshake.com/jobs/9142135,Ohio,Westlake,Part-Time,Marketing Specialist Intern,2024-07-25T15:15:40.908-04:00,2025-01-25T06:00:00.000-05:00,2024-07-25T06:00:00.000-04:00
DRB,https://app.joinhandshake.com/jobs/9247472,Ohio,Akron,Part-Time,Tax Internship,2024-08-29T09:01:35.921-04:00,2025-02-28T06:00:00.000-05:00,2024-08-29T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257359,,Shanghai,Full-Time,Central Trainer（Only for Chinese students）,2024-09-03T01:47:24.931-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9090792,Wisconsin,Milwaukee,Full-Time,Operations Specialist TELS Services,2024-07-03T18:02:38.478-04:00,2025-01-03T07:00:00.000-05:00,2024-07-03T07:00:00.000-04:00
Tanbii,https://app.joinhandshake.com/jobs/8979267,,,Part-Time,Global Product Marketing Internship,2024-05-15T19:12:33.778-04:00,2024-11-15T09:00:00.000-05:00,2024-05-15T09:00:00.000-04:00
Information Technology Industry Council (ITI),https://app.joinhandshake.com/jobs/8830332,District of Columbia,Washington,Part-Time,Marketing and Communications Fellow,2024-03-26T15:19:46.232-04:00,2024-09-26T06:00:00.000-04:00,2024-03-26T06:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9031871,Wisconsin,Milwaukee,Full-Time,Operations Specialist Customer Care,2024-06-07T14:51:44.365-04:00,2024-12-07T07:00:00.000-05:00,2024-06-07T07:00:00.000-04:00
AT Worthy,https://app.joinhandshake.com/jobs/8953760,,,Part-Time,Digital Marketing Intern,2024-05-06T22:41:35.359-04:00,2024-11-06T06:00:00.000-05:00,2024-05-06T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257389,,Shanghai,Full-Time,UI Designer（Minor Languages）【For Chinese students or non-Chinese students studying in China】,2024-09-03T03:07:47.923-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8900720,,,Part-Time,Recruiting Team Intern,2024-04-17T16:49:35.846-04:00,2024-10-17T09:00:00.000-04:00,2024-04-17T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879438,,,Part-Time,Self Governance & Compliance Project manager,2024-04-10T20:24:21.226-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9277674,,,Part-Time,Self Governance & Compliance Associates,2024-09-08T23:02:21.443-04:00,2024-12-08T06:00:00.000-05:00,2024-09-08T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883548,,,Part-Time,Comic Writer,2024-04-11T19:15:19.040-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883500,,,Part-Time,AIMEE Coordinator,2024-04-11T18:53:44.858-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8967859,,,Part-Time,Grant Writer Intern,2024-05-10T15:56:23.424-04:00,2024-11-10T09:00:00.000-05:00,2024-05-10T09:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9070495,Maryland,Rockville,Full-Time,Client Representative,2024-06-25T15:27:43.840-04:00,2024-12-25T06:00:00.000-05:00,2024-06-25T06:00:00.000-04:00
D3 Systems,https://app.joinhandshake.com/jobs/9136325,Virginia,McLean,Full-Time,Contracting  and Financial Operations Specialist,2024-07-24T06:36:01.354-04:00,2024-09-30T06:00:00.000-04:00,2024-07-24T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9277660,,,Part-Time,Grants & Contract Specialist,2024-09-08T22:29:54.563-04:00,2025-03-08T06:00:00.000-05:00,2024-09-08T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257370,,Shanghai,Full-Time,Recruiting Supervisor（Only for Chinese students）,2024-09-03T02:15:35.918-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
adMarketplace,https://app.joinhandshake.com/jobs/9209050,New York,New York,Full-Time,Publisher Account Manager,2024-08-18T13:12:51.712-04:00,2025-02-18T06:00:00.000-05:00,2024-08-18T06:00:00.000-04:00
Thrillzz,https://app.joinhandshake.com/jobs/8976197,Tennessee,Franklin,Part-Time,Social Media Intern,2024-05-15T02:18:54.263-04:00,2024-11-14T23:00:00.000-05:00,2024-05-14T23:00:00.000-04:00
Angi,https://app.joinhandshake.com/jobs/8851835,,,Full-Time,Inside Sales Representative,2024-04-02T16:06:58.743-04:00,2024-12-31T07:00:00.000-05:00,2024-04-02T07:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8967882,,,Part-Time,Grant Senior Advisor,2024-05-10T16:01:40.011-04:00,2024-11-10T09:00:00.000-05:00,2024-05-10T09:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9154046,Wisconsin,Milwaukee,Full-Time,Senior Technology Procurement Manager,2024-07-30T17:55:57.098-04:00,2025-01-30T07:00:00.000-05:00,2024-07-30T07:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9195827,,,Part-Time,SELENA Connections Curriculum Specialist,2024-08-13T17:41:14.550-04:00,2024-12-31T07:00:00.000-05:00,2024-08-13T07:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257384,,Shanghai,Full-Time,Product Operations（Only for Chinese students）,2024-09-03T02:59:31.020-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883475,,,Part-Time,Graphic Designer,2024-04-11T18:43:30.046-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8840066,,,Part-Time,Director of Curriculum Department,2024-03-28T19:17:14.290-04:00,2024-09-28T09:00:00.000-04:00,2024-03-28T09:00:00.000-04:00
Ellucian,https://app.joinhandshake.com/jobs/8868103,,,Part-Time,Ellucian Student Ambassador,2024-04-08T12:08:12.903-04:00,2024-12-31T06:00:00.000-05:00,2024-04-08T06:00:00.000-04:00
"BetterSocial, Public Benefits Corporation",https://app.joinhandshake.com/jobs/8827095,,,Part-Time,Helio - Graphic Design Intern,2024-03-29T15:44:12.698-04:00,2024-09-25T09:00:00.000-04:00,2024-03-25T09:00:00.000-04:00
Verkada,https://app.joinhandshake.com/jobs/9073885,Texas,Austin,Full-Time,Enterprise Development Representative,2024-06-26T15:49:06.941-04:00,2024-12-26T07:00:00.000-05:00,2024-06-26T07:00:00.000-04:00
Alias Technologies,https://app.joinhandshake.com/jobs/9269880,,,Part-Time,Video Editing Intern,2024-09-05T12:47:37.230-04:00,2025-03-05T09:00:00.000-05:00,2024-09-05T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883532,,,Part-Time,Curriculum Development Graphic Designer,2024-04-11T19:06:53.109-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
Roulettech Inc.,https://app.joinhandshake.com/jobs/9093159,,,Part-Time,Bilingual Video Editor Intern,2024-07-08T19:29:22.562-04:00,2025-01-06T07:00:00.000-05:00,2024-07-06T07:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9153985,Wisconsin,Milwaukee,Full-Time,"Manager, Implementation & Integrations",2024-07-30T17:44:45.859-04:00,2025-01-30T07:00:00.000-05:00,2024-07-30T07:00:00.000-04:00
Frog Social App,https://app.joinhandshake.com/jobs/8946015,,,Part-Time,Artist Collaboration,2024-05-03T06:47:42.689-04:00,2024-11-03T01:00:00.000-05:00,2024-05-03T01:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8967911,,,Part-Time,VR Sales Intern,2024-05-10T16:06:44.670-04:00,2024-11-10T09:00:00.000-05:00,2024-05-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8900696,,,Part-Time,Sales Representative Intern,2024-04-17T16:46:32.045-04:00,2024-10-17T09:00:00.000-04:00,2024-04-17T09:00:00.000-04:00
Tanbii,https://app.joinhandshake.com/jobs/8979031,,,Part-Time,Social Media Marketing Intern - Sustainability Eco-Game Startup - VC Backed,2024-05-15T17:36:38.337-04:00,2024-11-15T09:00:00.000-05:00,2024-05-15T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879444,,,Part-Time,Self Governance and Compliance Coordinator,2024-04-10T20:30:18.802-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
With Bytes,https://app.joinhandshake.com/jobs/9256414,,,Part-Time,Content Creator & Social Media Marketing Intern,2024-09-01T12:57:57.594-04:00,2025-03-01T06:00:00.000-05:00,2024-09-01T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879433,,,Part-Time,Grant writer,2024-04-10T20:19:43.815-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8967813,,,Part-Time,Outreach Intern,2024-05-10T15:46:42.573-04:00,2024-11-10T09:00:00.000-05:00,2024-05-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883481,,,Part-Time,Marketing and Advertising Coordinator,2024-04-11T18:47:12.043-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9061748,,,Part-Time,Social Media Project Manager,2024-06-21T07:47:30.064-04:00,2024-12-21T09:00:00.000-05:00,2024-06-21T09:00:00.000-04:00
Alias Technologies,https://app.joinhandshake.com/jobs/9269611,,,Part-Time,Marketing Intern (Social Media),2024-09-05T12:15:42.244-04:00,2025-03-05T09:00:00.000-05:00,2024-09-05T09:00:00.000-04:00
Alias Technologies,https://app.joinhandshake.com/jobs/9269786,,,Part-Time,Graphic Design Intern,2024-09-05T12:36:01.331-04:00,2025-03-05T09:00:00.000-05:00,2024-09-05T09:00:00.000-04:00
Gabriel AI,https://app.joinhandshake.com/jobs/8726335,,,Part-Time,Sales Intern,2024-04-29T21:42:27.022-04:00,2025-01-16T10:00:00.000-05:00,2024-02-23T10:00:00.000-05:00
Shepherd,https://app.joinhandshake.com/jobs/9324398,,,Part-Time,Sales Representative,2024-09-21T22:30:05.129-04:00,2025-03-21T07:00:00.000-04:00,2024-09-21T07:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9090826,Wisconsin,Milwaukee,Full-Time,Business Development Manager,2024-07-03T18:17:42.709-04:00,2025-01-03T07:00:00.000-05:00,2024-07-03T07:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879448,,,Part-Time,Video Editor,2024-04-10T20:34:57.950-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8827041,,,Part-Time,Graphic Designer Intern,2024-03-25T20:12:36.907-04:00,2024-09-25T09:00:00.000-04:00,2024-03-25T09:00:00.000-04:00
"Def-Logix, Inc.",https://app.joinhandshake.com/jobs/9181925,Texas,San Antonio,Full-Time,Administrative Assistant,2024-08-08T14:45:37.600-04:00,2024-10-01T07:00:00.000-04:00,2024-08-08T07:00:00.000-04:00
"PureMaven, Inc.",https://app.joinhandshake.com/jobs/8305237,New York,New York,Part-Time,Marketing & Growth Intern - New York City,2023-10-30T21:19:33.187-04:00,2024-10-01T06:00:00.000-04:00,2023-10-02T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9014585,,,Part-Time,Grant Writer Intern,2024-05-31T15:27:10.724-04:00,2024-11-30T09:00:00.000-05:00,2024-05-31T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883535,,,Part-Time,Curriculum Department Video Editor,2024-04-11T19:09:28.888-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
"PureMaven, Inc.",https://app.joinhandshake.com/jobs/8626151,New York,New York City,Part-Time,Marketing Intern - Social Media Creator (Remote or Hybrid),2024-01-26T13:17:53.326-05:00,2024-12-31T06:00:00.000-05:00,2024-01-26T06:00:00.000-05:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8840071,,,Part-Time,Video Editor Intern,2024-03-28T19:19:33.765-04:00,2024-09-28T09:00:00.000-04:00,2024-03-28T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8883493,,,Part-Time,Video Editor,2024-04-11T18:51:14.323-04:00,2024-10-11T09:00:00.000-04:00,2024-04-11T09:00:00.000-04:00
Direct Supply,https://app.joinhandshake.com/jobs/9029696,Wisconsin,Milwaukee,Full-Time,Account Executive-Capital Sales,2024-06-06T18:05:57.263-04:00,2024-12-06T07:00:00.000-05:00,2024-06-06T07:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9128551,,,Part-Time,Public Relations Associate Intern,2024-07-21T06:49:51.346-04:00,2024-12-31T07:00:00.000-05:00,2024-07-21T07:00:00.000-04:00
